mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rfr__n_estimators,param_rfr__min_samples_split,param_rfr__min_samples_leaf,param_rfr__max_features,param_rfr__max_depth,param_rfr__bootstrap,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_rmae,split1_test_rmae,split2_test_rmae,split3_test_rmae,split4_test_rmae,mean_test_rmae,std_test_rmae,rank_test_rmae
0.29480876922607424,0.002055332225967903,0.015159511566162109,0.0003988027679533212,100,20,3,0.5,10,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.5, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91452.8023225084,-99859.91759059779,-102176.15940735408,-96264.3064731371,-97087.21526700407,-97368.08021212029,3622.556919194312,4,-269.29715355541254,-277.7608516462404,-279.8514945415882,-273.6731650397108,-279.57995101479514,-276.03252315954944,4.027100212433043,6
1.5482579708099364,0.006135023840178106,0.057047462463378905,0.002034115597801486,500,5,10,0.75,20,True,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 20, 'rfr__bootstrap': True}",-91712.08531587999,-100013.9671496192,-102511.8664799648,-97175.09289390249,-97730.30113741098,-97828.6625953555,3593.252024742147,15,-269.2147441057591,-279.622800959642,-280.8416876693157,-274.5390478494126,-279.94214440348935,-276.83208499752374,4.400440439307534,13
2.0628790855407715,0.015475874289708378,0.06037263870239258,0.004225754811501846,500,10,5,0.75,10,False,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-93923.82553986358,-101249.22253429348,-105333.56792009952,-99802.50002725626,-101264.52728747993,-100314.72866179855,3689.719897654646,29,-271.57299555929274,-278.8366890239959,-284.68016931690335,-276.3132002390797,-283.5769078771235,-278.99599240327905,4.808706422160917,30
0.4411381721496582,0.0072578495560411795,0.01596860885620117,0.00038733712765897017,100,10,5,0.75,30,False,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-94169.56181304547,-101618.93333110173,-105378.40424655484,-101155.91225616579,-101731.25523298391,-100810.81337597033,3649.3416664991846,33,-271.8422232988681,-278.34380898942896,-283.8820600154884,-277.8165268883267,-283.98403871637333,-279.1737315816971,4.507531500953018,33
3.1429327011108397,0.020437993204759926,0.11207361221313476,0.0036404519297980483,1000,10,10,0.75,10,True,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91793.11073215694,-99999.40262199579,-102415.15139555614,-97295.7424857132,-97630.31095218608,-97826.74363752162,3535.511472944108,14,-269.531767127428,-279.2478548069822,-280.878608462487,-274.66332054373373,-279.96863778260484,-276.85803774464716,4.243655778534249,14
1.668409776687622,0.009153555295826484,0.06482667922973633,0.0022742469419774914,500,20,5,0.75,10,True,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 5, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91796.37610254392,-99580.96827720002,-102445.84440030417,-96680.16212884305,-97516.15123819388,-97603.900429417,3519.7031087203422,10,-269.45469348257745,-278.65533788871045,-280.5488750699702,-273.4915157962634,-280.2133254856078,-276.47274954462586,4.324610158171033,11
1.630394458770752,0.0118002594834413,0.060834836959838864,0.0030257961497366388,500,5,10,0.75,10,True,"{'rfr__n_estimators': 500, 'rfr__min_samples_split': 5, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91889.25910699507,-100269.33530672817,-102232.05181401013,-97467.62867992936,-97497.67803041919,-97871.19058761638,3488.6698557540926,17,-269.6289585475377,-279.81235644765707,-280.68834114859686,-275.00156749500184,-280.0390143327344,-277.0340475943056,4.220639897201295,17
4.230514097213745,0.020977629772413003,0.12723927497863768,0.006878839461317415,1000,10,3,0.75,10,False,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 10, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': False}",-94241.2125875582,-101073.63301281555,-105148.68650875734,-100329.26736995776,-102131.7472350314,-100584.90934282404,3571.203204852224,32,-272.60124907542735,-278.0048168317209,-284.571886508561,-276.79068967946773,-283.7054644766893,-279.13482131437326,4.4701652384935056,32
3.468009853363037,0.012114310304541945,0.1281179428100586,0.005520534091155825,1000,20,3,0.5,30,False,"{'rfr__n_estimators': 1000, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 3, 'rfr__max_features': 0.5, 'rfr__max_depth': 30, 'rfr__bootstrap': False}",-92138.4560298442,-100143.85311379038,-103213.82383775234,-97875.8795249019,-98964.38274490125,-98467.27905023801,3632.945205084664,20,-271.12472371914583,-277.9742207414902,-282.05845162250904,-274.4367496870318,-280.68442915622614,-277.25571498528063,4.021796361142051,20
0.3112500667572021,0.007443910160371937,0.015621566772460937,9.841808052325389e-07,100,20,10,0.75,10,True,"{'rfr__n_estimators': 100, 'rfr__min_samples_split': 20, 'rfr__min_samples_leaf': 10, 'rfr__max_features': 0.75, 'rfr__max_depth': 10, 'rfr__bootstrap': True}",-91463.416732497,-99533.16184617952,-102756.43537970299,-97279.56718950308,-97401.97975381663,-97686.91218033984,3690.195531839987,11,-268.8673400777609,-279.16818573933364,-281.2453286008631,-274.69997121257813,-279.39418766690096,-276.6750026594874,4.457760702212684,12
